type,template_names,label_fr
Connotation,affectueux,Affectueux
Connotation,injurieux,Injurieux
Connotation,ironique,Ironique
Connotation,mélioratif,Mélioratif
Connotation,par dérision,Par dérision
Connotation,par plaisanterie,Par plaisanterie
Connotation,péjoratif,Péjoratif
GlossaryUseDomain,agrumes,Agrumes
GlossaryUseDomain,alcaloïdes,Alcaloïdes
GlossaryUseDomain,alcools,Alcools
GlossaryUseDomain,algues,Algues
GlossaryUseDomain,aliments,Aliments
GlossaryUseDomain,alliages,Alliages
GlossaryUseDomain,anciennes divisions,Anciennes divisions
GlossaryUseDomain,anciennes localités,Anciennes localités
GlossaryUseDomain,anglicismes informatiques,Anglicismes informatiques
GlossaryUseDomain,animaux,Animaux
GlossaryUseDomain,antilopes,Antilopes
GlossaryUseDomain,arbres,Arbres
GlossaryUseDomain,armes,Armes
GlossaryUseDomain,armures,Armures
GlossaryUseDomain,aromates,Aromates
GlossaryUseDomain,arthropodes,Arthropodes
GlossaryUseDomain,artistes,Artistes
GlossaryUseDomain,atomes,Atomes
GlossaryUseDomain,avions,Avions
GlossaryUseDomain,bactéries,Bactéries
GlossaryUseDomain,bateaux,Bateaux
GlossaryUseDomain,bières,Bières
GlossaryUseDomain,bivalves,Bivalves
GlossaryUseDomain,boissons,Boissons
GlossaryUseDomain,bovins,Bovins
GlossaryUseDomain,cactus,Cactus
GlossaryUseDomain,camélidés,Camélidés
GlossaryUseDomain,canards,Canards
GlossaryUseDomain,caprins,Caprins
GlossaryUseDomain,carnivores,Carnivores
GlossaryUseDomain,cépages,Cépages
GlossaryUseDomain,céphalopodes,Céphalopodes
GlossaryUseDomain,céréales,Céréales
GlossaryUseDomain,cervidés,Cervidés
GlossaryUseDomain,cétacés,Cétacés
GlossaryUseDomain,chaînes de montagnes,Chaînes de montagnes
GlossaryUseDomain,chameaux,Chameaux
GlossaryUseDomain,champignons,Champignons
GlossaryUseDomain,chats,Chats
GlossaryUseDomain,chaussures,Chaussures
GlossaryUseDomain,chauves-souris,Chauves-souris
GlossaryUseDomain,chênes,Chênes
GlossaryUseDomain,chevaux,Chevaux
GlossaryUseDomain,chiens,Chiens
GlossaryUseDomain,cigognes,Cigognes
GlossaryUseDomain,cnidaires,Cnidaires
GlossaryUseDomain,cocktails,Cocktails
GlossaryUseDomain,coléoptères,Coléoptères
GlossaryUseDomain,commerces,Commerces
GlossaryUseDomain,composants électriques,Composants électriques
GlossaryUseDomain,composants électroniques,Composants électroniques
GlossaryUseDomain,condiments,Condiments
GlossaryUseDomain,confiseries,Confiseries
GlossaryUseDomain,conifères,Conifères
GlossaryUseDomain,constellations,Constellations
GlossaryUseDomain,coquillages,Coquillages
GlossaryUseDomain,cours d’eau,Cours d’eau
GlossaryUseDomain,couteaux,Couteaux
GlossaryUseDomain,couvertures,Couvertures
GlossaryUseDomain,couvre-chefs,Couvre-chefs
GlossaryUseDomain,crabes,Crabes
GlossaryUseDomain,crapauds,Crapauds
GlossaryUseDomain,créatures,Créatures
GlossaryUseDomain,crimes,Crimes
GlossaryUseDomain,criminels,Criminels
GlossaryUseDomain,crustacés,Crustacés
GlossaryUseDomain,cygnes,Cygnes
GlossaryUseDomain,danses,Danses
GlossaryUseDomain,départements,Départements
GlossaryUseDomain,déserts,Déserts
GlossaryUseDomain,desserts,Desserts
GlossaryUseDomain,détroits,Détroits
GlossaryUseDomain,diacritiques,Diacritiques
GlossaryUseDomain,dialectes,Dialectes
GlossaryUseDomain,dindons,Dindons
GlossaryUseDomain,dinosaures,Dinosaures
GlossaryUseDomain,distinctions,Distinctions
GlossaryUseDomain,divinités,Divinités
GlossaryUseDomain,documents,Documents
GlossaryUseDomain,drogues,Drogues
GlossaryUseDomain,échinodermes,Échinodermes
GlossaryUseDomain,écureuils,Écureuils
GlossaryUseDomain,édifices,Édifices
GlossaryUseDomain,éléments,Éléments
GlossaryUseDomain,enzymes,Enzymes
GlossaryUseDomain,épices,Épices
GlossaryUseDomain,équins,Équins
GlossaryUseDomain,établissements,Établissements
GlossaryUseDomain,états,États
GlossaryUseDomain,ethnonymes,Ethnonymes
GlossaryUseDomain,étoiles,Étoiles
GlossaryUseDomain,euphorbes,Euphorbes
GlossaryUseDomain,familles de plantes,Familles de plantes
GlossaryUseDomain,félins,Félins
GlossaryUseDomain,figures,Figures
GlossaryUseDomain,flamants,Flamants
GlossaryUseDomain,fleurs,Fleurs
GlossaryUseDomain,fromages,Fromages
GlossaryUseDomain,fruits,Fruits
GlossaryUseDomain,gastéropodes,Gastéropodes
GlossaryUseDomain,gâteaux,Gâteaux
GlossaryUseDomain,genres littéraires,Genres littéraires
GlossaryUseDomain,genres musicaux,Genres musicaux
GlossaryUseDomain,gentilés,Gentilés
GlossaryUseDomain,giraffidés,Giraffidés
GlossaryUseDomain,gladiateurs,Gladiateurs
GlossaryUseDomain,golfes,Golfes
GlossaryUseDomain,grades,Grades
GlossaryUseDomain,grenouilles,Grenouilles
GlossaryUseDomain,grues,Grues
GlossaryUseDomain,hérons,Hérons
GlossaryUseDomain,ibis,Ibis
GlossaryUseDomain,îles,Îles
GlossaryUseDomain,insectes,Insectes
GlossaryUseDomain,instruments,Instruments
GlossaryUseDomain,instruments de mesure,Instruments de mesure
GlossaryUseDomain,insultes,Insultes
GlossaryUseDomain,jeux de cartes,Jeux de cartes
GlossaryUseDomain,jouets,Jouets
GlossaryUseDomain,lacs,Lacs
GlossaryUseDomain,langages,Langages
GlossaryUseDomain,langues,Langues
GlossaryUseDomain,légumes,Légumes
GlossaryUseDomain,léporidés,Léporidés
GlossaryUseDomain,lézards,Lézards
GlossaryUseDomain,lianes,Lianes
GlossaryUseDomain,lieux,Lieux
GlossaryUseDomain,localités,Localités
GlossaryUseDomain,machines,Machines
GlossaryUseDomain,maladies,Maladies
GlossaryUseDomain,mammifères,Mammifères
GlossaryUseDomain,marsupiaux,Marsupiaux
GlossaryUseDomain,médicaments,Médicaments
GlossaryUseDomain,méduses,Méduses
GlossaryUseDomain,mers,Mers
GlossaryUseDomain,métaplasmes,Métaplasmes
GlossaryUseDomain,meubles,Meubles
GlossaryUseDomain,meubles héraldiques,Meubles héraldiques
GlossaryUseDomain,minéraux,Minéraux
GlossaryUseDomain,mollusques,Mollusques
GlossaryUseDomain,monnaies,Monnaies
GlossaryUseDomain,montagnes,Montagnes
GlossaryUseDomain,mouches,Mouches
GlossaryUseDomain,muscles,Muscles
GlossaryUseDomain,musiciens,Musiciens
GlossaryUseDomain,musiques,Musiques
GlossaryUseDomain,oies,Oies
GlossaryUseDomain,oiseaux,Oiseaux
GlossaryUseDomain,outils,Outils
GlossaryUseDomain,ovins,Ovins
GlossaryUseDomain,palmiers,Palmiers
GlossaryUseDomain,palmipèdes,Palmipèdes
GlossaryUseDomain,papillons,Papillons
GlossaryUseDomain,particules,Particules
GlossaryUseDomain,pâtes alimentaires,Pâtes alimentaires
GlossaryUseDomain,pâtisseries,Pâtisseries
GlossaryUseDomain,pays,Pays
GlossaryUseDomain,pêches,Pêches
GlossaryUseDomain,pélicans,Pélicans
GlossaryUseDomain,perroquets,Perroquets
GlossaryUseDomain,personnalités,Personnalités
GlossaryUseDomain,peupliers,Peupliers
GlossaryUseDomain,phobies,Phobies
GlossaryUseDomain,planètes,Planètes
GlossaryUseDomain,plans d’eau,Plans d’eau
GlossaryUseDomain,plantes,Plantes
GlossaryUseDomain,pléonasmes,Pléonasmes
GlossaryUseDomain,points cardinaux,Points cardinaux
GlossaryUseDomain,poires,Poires
GlossaryUseDomain,poissons,Poissons
GlossaryUseDomain,pommes,Pommes
GlossaryUseDomain,ponctuations,Ponctuations
GlossaryUseDomain,porcins,Porcins
GlossaryUseDomain,positions,Positions
GlossaryUseDomain,poules,Poules
GlossaryUseDomain,préparations,Préparations
GlossaryUseDomain,primates,Primates
GlossaryUseDomain,protéines,Protéines
GlossaryUseDomain,protocoles,Protocoles
GlossaryUseDomain,proverbes,Proverbes
GlossaryUseDomain,provinces,Provinces
GlossaryUseDomain,psychotropes,Psychotropes
GlossaryUseDomain,quartiers,Quartiers
GlossaryUseDomain,raies,Raies
GlossaryUseDomain,rapaces,Rapaces
GlossaryUseDomain,régions,Régions
GlossaryUseDomain,religieux,Religieux
GlossaryUseDomain,religions,Religions
GlossaryUseDomain,reptiles,Reptiles
GlossaryUseDomain,requins,Requins
GlossaryUseDomain,roches,Roches
GlossaryUseDomain,rongeurs,Rongeurs
GlossaryUseDomain,saisons,Saisons
GlossaryUseDomain,salades,Salades
GlossaryUseDomain,sandwichs,Sandwichs
GlossaryUseDomain,satellites,Satellites
GlossaryUseDomain,saules,Saules
GlossaryUseDomain,scientifiques,Scientifiques
GlossaryUseDomain,seigneuries,Seigneuries
GlossaryUseDomain,sentiments,Sentiments
GlossaryUseDomain,serpents,Serpents
GlossaryUseDomain,singes,Singes
GlossaryUseDomain,soldats,Soldats
GlossaryUseDomain,spatules,Spatules
GlossaryUseDomain,sportifs,Sportifs
GlossaryUseDomain,sports,Sports
GlossaryUseDomain,substances,Substances
GlossaryUseDomain,symboles unités,Symboles unités
GlossaryUseDomain,temps géologiques,Temps géologiques
GlossaryUseDomain,territoires,Territoires
GlossaryUseDomain,textiles,Textiles
GlossaryUseDomain,thérapies,Thérapies
GlossaryUseDomain,tissus,Tissus
GlossaryUseDomain,titres,Titres
GlossaryUseDomain,toponymes,Toponymes
GlossaryUseDomain,tortues,Tortues
GlossaryUseDomain,un os,Un os
GlossaryUseDomain,unités,Unités
GlossaryUseDomain,usines,Usines
GlossaryUseDomain,ustensiles,Ustensiles
GlossaryUseDomain,véhicules,Véhicules
GlossaryUseDomain,vents,Vents
GlossaryUseDomain,vers,Vers
GlossaryUseDomain,vêtements,Vêtements
GlossaryUseDomain,viandes,Viandes
GlossaryUseDomain,vins,Vins
GlossaryUseDomain,virus,Virus
GlossaryUseDomain,voitures,Voitures
GlossaryUseDomain,xénarthres,Xénarthres
GrammaticalConstraint,absolument,Absolument
GrammaticalConstraint,apposition,En apposition
GrammaticalConstraint,au féminin,Au féminin
GrammaticalConstraint,au masculin,Au masculin
GrammaticalConstraint,au pluriel,Au pluriel
GrammaticalConstraint,au singulier,Au singulier
GrammaticalConstraint,ellipse,Par ellipse
GrammaticalConstraint,épithète,Employé comme épithète
Idiomatism,anglicisme,Anglicisme
Idiomatism,gallicisme,Gallicisme
Idiomatism,germanisme,Germanisme
Idiomatism,hispanisme,Hispanisme
Idiomatism,italianisme,Italianisme
Idiomatism,latinisme,Latinisme
Idiomatism,lusitanisme,Lusitanisme
LanguageRegister,enfantin,Langage enfantin
LanguageRegister,familier,Familier
LanguageRegister,informel,Informel
LanguageRegister,populaire,Populaire
LanguageRegister,soutenu;formel,Soutenu
LanguageRegister,très familier,Très familier
LanguageRegister,vulgaire,Vulgaire
LexicalUseDomain,acoustique,Acoustique
LexicalUseDomain,administration,Administration
LexicalUseDomain,aéronautique,Aéronautique
LexicalUseDomain,agriculture,Agriculture
LexicalUseDomain,agronomie,Agronomie
LexicalUseDomain,aïkido,Aïkido
LexicalUseDomain,alchimie,Alchimie
LexicalUseDomain,algèbre,Algèbre
LexicalUseDomain,alpinisme,Alpinisme
LexicalUseDomain,analyse,Analyse
