type,template_names,label_fr,iri
flont:Connotation,affectueux,Affectueux,flont:defprec_affectueux
flont:Connotation,injurieux,Injurieux,flont:defprec_injurieux
flont:Connotation,ironique,Ironique,flont:defprec_ironique
flont:Connotation,mélioratif,Mélioratif,flont:defprec_melioratif
flont:Connotation,par dérision,Par dérision,flont:defprec_par_derision
flont:Connotation,par plaisanterie,Par plaisanterie,flont:defprec_par_plaisanterie
flont:Connotation,péjoratif,Péjoratif,flont:defprec_pejoratif
flont:GlossaryUseDomain,agrumes,Agrumes,flont:defprec_agrumes
flont:GlossaryUseDomain,alcaloïdes,Alcaloïdes,flont:defprec_alcaloides
flont:GlossaryUseDomain,alcools,Alcools,flont:defprec_alcools
flont:GlossaryUseDomain,algues,Algues,flont:defprec_algues
flont:GlossaryUseDomain,aliments,Aliments,flont:defprec_aliments
flont:GlossaryUseDomain,alliages,Alliages,flont:defprec_alliages
flont:GlossaryUseDomain,anciennes divisions,Anciennes divisions,flont:defprec_anciennes_divisions
flont:GlossaryUseDomain,anciennes localités,Anciennes localités,flont:defprec_anciennes_localites
flont:GlossaryUseDomain,anglicismes informatiques,Anglicismes informatiques,flont:defprec_anglicismes_informatiques
flont:GlossaryUseDomain,animaux,Animaux,flont:defprec_animaux
flont:GlossaryUseDomain,antilopes,Antilopes,flont:defprec_antilopes
flont:GlossaryUseDomain,arbres,Arbres,flont:defprec_arbres
flont:GlossaryUseDomain,armes,Armes,flont:defprec_armes
flont:GlossaryUseDomain,armures,Armures,flont:defprec_armures
flont:GlossaryUseDomain,aromates,Aromates,flont:defprec_aromates
flont:GlossaryUseDomain,arthropodes,Arthropodes,flont:defprec_arthropodes
flont:GlossaryUseDomain,artistes,Artistes,flont:defprec_artistes
flont:GlossaryUseDomain,atomes,Atomes,flont:defprec_atomes
flont:GlossaryUseDomain,avions,Avions,flont:defprec_avions
flont:GlossaryUseDomain,bactéries,Bactéries,flont:defprec_bacteries
flont:GlossaryUseDomain,bateaux,Bateaux,flont:defprec_bateaux
flont:GlossaryUseDomain,bières,Bières,flont:defprec_bieres
flont:GlossaryUseDomain,bivalves,Bivalves,flont:defprec_bivalves
flont:GlossaryUseDomain,boissons,Boissons,flont:defprec_boissons
flont:GlossaryUseDomain,bovins,Bovins,flont:defprec_bovins
flont:GlossaryUseDomain,cactus,Cactus,flont:defprec_cactus
flont:GlossaryUseDomain,camélidés,Camélidés,flont:defprec_camelides
flont:GlossaryUseDomain,canards,Canards,flont:defprec_canards
flont:GlossaryUseDomain,caprins,Caprins,flont:defprec_caprins
flont:GlossaryUseDomain,carnivores,Carnivores,flont:defprec_carnivores
flont:GlossaryUseDomain,cépages,Cépages,flont:defprec_cepages
flont:GlossaryUseDomain,céphalopodes,Céphalopodes,flont:defprec_cephalopodes
flont:GlossaryUseDomain,céréales,Céréales,flont:defprec_cereales
flont:GlossaryUseDomain,cervidés,Cervidés,flont:defprec_cervides
flont:GlossaryUseDomain,cétacés,Cétacés,flont:defprec_cetaces
flont:GlossaryUseDomain,chaînes de montagnes,Chaînes de montagnes,flont:defprec_chaines_de_montagnes
flont:GlossaryUseDomain,chameaux,Chameaux,flont:defprec_chameaux
flont:GlossaryUseDomain,champignons,Champignons,flont:defprec_champignons
flont:GlossaryUseDomain,chats,Chats,flont:defprec_chats
flont:GlossaryUseDomain,chaussures,Chaussures,flont:defprec_chaussures
