"iri","template_names","label_fr","label_en","abbreviation"
"flont:Adjective","adj;adjectif","Adjectif","Adjective","adj"
"flont:DemonstrativeAdjective","adjectif démonstratif","Adjectif démonstratif","Demonstrative adjective","adjDem"
"flont:ExclamativeAdjective","adjectif exclamatif","Adjectif exclamatif","Exclamative adjective","adjExcl"
"flont:IndefiniteAdjective","adjectif indéfini","Adjectif indéfini","Indefinite adjective","adjIdef"
"flont:InterrogativeAdjective","adjectif interrogatif","Adjectif interrogatif","Interrogative adjective","adjInt"
"flont:NumeralAdjective","adjectif numéral","Adjectif numéral","Numeral adjective","adjNum"
"flont:PossessiveAdjective","adjectif possessif","Adjectif posséssif","Possessive adjective","adjPoss"
"flont:RelativeAdjective","adjectif relatif","Adjectif relatif","Relative adjective","adjRel"
"flont:Adverb","adverbe","Adverbe","Adverb","adv"
"flont:InterrogativeAdverb","adverbe interrogatif","Adverbe interrogatif","Interrogative adverb","advInt"
"flont:RelativeAdverb","adverbe relatif","Adverbe relatif","Relative adverb","advRel"
"flont:DefiniteArticle","article défini","Article défini","Definite article","affInt"
"flont:IndefiniteArticle","article indéfini","Article indéfini","Indefinite article","artDef"
"flont:PartitiveArticle","article partitif","Article partitif","Partitive article","artIdef"
"flont:Conjunction","conjonction","Conjonction","Conjunction","artPart"
"flont:CoordinatingConjunction","conjonction de coordination","Conjonction de coordination","Coordinating conjunction","conj"
"flont:Interfix","interfixe","Interfixe","Interfix","conjCoo"
"flont:Interjection","interjection","Interjection","Interjection","int"
"flont:Letter","lettre","Lettre","Letter","let"
"flont:Locution","locution;locution phrase;locution-phrase","Locution","Locution","loc"
"flont:CommonNoun","nom;nom commun;nom scientifique;substantif","Nom commun","Common noun","nCom"
"flont:FamilyName","nom de famille;patronyme","Nom de famille","Family name","nFam"
"flont:ProperNoun","nom propre","Nom propre","Proper noun","nFirst"
"flont:Onomatopoeia","onomatopée","Onomatopée","Onomatopoeia","nProp"
"flont:Particle","particule","Particule","Particle","ono"
"flont:Sentence","phrase;phrases","Phrase","Sentence","part"
"flont:Postposition","postposition","Postposition","Postposition","postp"
"flont:Prefix","préfixe","Préfixe","Prefix","pref"
"flont:FirstName","prénom","Prénom","Firstname","prep"
"flont:Preposition","préposition","Préposition","Preposition","pron"
"flont:Pronoun","pronom","Pronom","Pronoun","pronDem"
"flont:DemonstrativePronoun","pronom démonstratif","Pronom démonstratif","Demonstrative pronoun","pronIdef"
"flont:IndefinitePronoun","pronom indéfini","Pronom indéfini","Indefinite pronoun","pronInt"
"flont:InterrogativePronoun","pronom interrogatif","Pronom interrogatif","Interrogative pronoun","pronPers"
"flont:PersonalPronoun","pronom personnel","Pronom personnel","Personal pronoun","pronPoss"
"flont:PossessivePronoun","pronom possessif","Pronom possessif","Possessive pronoun","pronRel"
"flont:RelativePronoun","pronom relatif","Pronom relatif","Relative pronoun","prov"
"flont:Proverb","proverbe","Proverbe","Proverb","sent"
"flont:Suffix","suffixe","Suffixe","Suffix","suff"
"flont:Symbol","symbole","Symbole","Symbol","sym"
"flont:Verb","verbe","Verbe","Verb","v"
